"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV737",0.245373483866638,0.201653477698939,0.0178488087701265,0.148672749465029,0.708222645749239,0.971211940211356,0.997871910978524
"ASV738",0.262763497338781,0.201111272756413,0.0185234062752334,0.161221990106699,0.719401715608268,0.971588974886365,0.997812520161933
"ASV739",0.274127007345139,0.203351765863457,0.018854723063106,0.168162618284991,0.728648358397819,0.972728343192148,0.997893750837469
"ASV740",0.275190835209154,0.193492502251932,0.0189620620509968,0.174201602671164,0.723633875710557,0.970149699905607,0.997527258320701
"ASV743",0.263734519210698,0.204137632558353,0.0185431462850966,0.160369264441692,0.721682519301924,0.97237791279319,0.997911950748915
"ASV744",0.259287051250115,0.201290378368525,0.018141883232885,0.158554148618226,0.719896675130596,0.97226474475623,0.997912916591951
"ASV746",0.281992750263518,0.19406428879784,0.0193346431967818,0.178979000381205,0.726957015403432,0.970164203251857,0.997488285336643
"ASV749",0.250208642217168,0.208873288148408,0.0179368800237958,0.148540770528853,0.716054537870354,0.973300302829492,0.998105883276041
"ASV750",0.278219538768387,0.192831655972453,0.0188650160891249,0.176703399988249,0.727275304468769,0.9707027999936,0.99757673809002
"ASV754",0.275528992958726,0.194621087700152,0.0186889014357125,0.173721436130892,0.727350713396001,0.971305172421805,0.997677127591552
"ASV755",0.28392666535767,0.185696048866685,0.0191630126105578,0.18493185370262,0.725899638854956,0.968663059363222,0.997236034298539
"ASV756",0.257575166174449,0.210699193935045,0.0182849975658978,0.152765857623414,0.721001223264519,0.973710324608029,0.998119699648898
"ASV757",0.288876968979438,0.198604090684269,0.0190782869790287,0.181345624651126,0.738394922805294,0.972947292211333,0.9978225974662
"ASV759",0.273146482286982,0.199138045435828,0.0184852251616015,0.169532776802879,0.729382677947296,0.972666488634329,0.997876073866266
"ASV760",0.279846095752083,0.187196470254549,0.0189261547232025,0.180983244164582,0.725133872335953,0.96922649778921,0.997347552567758
"ASV762",0.294939827673176,0.17789465338053,0.019103181363746,0.197608637761189,0.732359609459166,0.968156571699583,0.997048536133676
"ASV764",0.25655713789089,0.228757475726261,0.0182249032957301,0.143315816324071,0.727745508371001,0.97712224973188,0.998536821236514
"ASV765",0.267699575462841,0.206288991646399,0.0182318301651151,0.161889926424085,0.729978214838247,0.974250591760485,0.998115114920562
"ASV770",0.264821343502076,0.208674568826332,0.0184993061685033,0.158800737146881,0.725366142415328,0.973651803309253,0.998069550443268
"ASV771",0.0543293877511944,0.711358104666121,0.0133855596842543,0.00143650222946135,0.207178954414789,0.979368266844626,0.999884042332107
