kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus,1,44,204,590,8621,2333922,2333923,2333923,stsc,species,gbif
Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Raja stellulata,1,44,121,884,5877,2342057,5216036,5216036,stsk,species,gbif
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,Hypomesus pretiosus,1,44,204,1068,8480,2410868,2410871,2410871,susm,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Psychrolutidae,Psychrolutes,Psychrolutes paradoxus,1,44,204,590,8631,2334899,2334904,2334904,tasc,species,gbif
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,1,44,204,550,7666,2333602,4286327,4286327,thst,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nigrocinctus,1,44,204,590,8633,2333712,2335492,2335492,tiro,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus,1,44,204,590,8621,2333736,2333746,2333746,tisc,species,gbif
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus proximus,1,44,204,549,3701,2415887,2415888,2415888,tomc,species,gbif
Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,1,44,204,550,3705,2356480,2356481,2356481,tube,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Pallasina,Pallasina barbata,1,44,204,590,8617,2337225,5201645,5201645,tupo,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,1,44,204,590,8621,2333960,NA,2333960,unar,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,1,44,204,587,8598,2394913,NA,2394913,uncc,species,gbif
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,NA,Microgadus proximus,1,44,204,549,3701,NA,NA,3701,unco,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,NA,NA,Citharichthys stigmaeus,1,44,204,588,NA,NA,NA,588,unfl,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,NA,Hexagrammos octogrammus,1,44,204,590,8626,NA,NA,8626,ungr,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,NA,Pholis laeta,1,44,204,587,8576,NA,NA,4841193,ungu,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,44,204,590,8621,2333943,NA,2333943,unil,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,Gibbonsia metzi,1,44,204,587,4261,2380263,NA,2380263,unke,species,gbif
Animalia,Chordata,Actinopterygii,NA,NA,NA,NA,1,44,204,NA,NA,NA,NA,204,unla,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,NA,Embiotoca jacksoni,1,44,204,587,4269,NA,NA,4269,unpe,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,NA,Liparis callyodon,1,44,204,590,8617,NA,NA,8617,unpo,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,NA,NA,1,44,204,587,8507,NA,NA,8507,unrn,species,gbif
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,204,1313,8615,2351426,NA,2351426,unsa,species,gbif
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,204,1313,8615,2351426,NA,2351426,untr,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,NA,Citharichthys sordidus,1,44,204,588,5082,NA,NA,5082,unsd,species,gbif
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,NA,Hypomesus pretiosus,1,44,204,1068,8480,NA,NA,8480,unsm,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,NA,Liparis callyodon,1,44,204,590,8627,NA,NA,8627,unsn,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,1,44,204,590,8633,2333712,2335381,2335381,vero,species,gbif
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,1,44,204,549,3701,2335052,2415769,2415762,wall,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Chesnonia,Chesnonia verrucosa,1,44,204,590,8617,2337174,2337175,2337175,wapo,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos stelleri,1,44,204,590,8626,2336463,2336480,2336480,whgr,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,1,44,204,590,8633,2333712,2335516,2335516,wiro,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,1,44,204,590,8633,2333712,2335500,2335500,yero,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda aspera,1,44,204,588,8611,5213949,5213950,5213950,yeso,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Oligocottus maculosus,1,44,204,590,8621,2334066,NA,2334066,unsc,species,gbif
Animalia,Chordata,Actinopterygii,Beloniformes,Scomberesocidae,Cololabis,Cololabis saira,1,44,204,498,7192,2369260,2369261,2369261,pasr,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,NA,Clevelandia ios,1,44,204,587,4274,NA,NA,4274,ungo,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus,Bathyagonus pentacanthus,1,44,204,590,8617,2337084,NA,2337084,unba,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Orthonopias,Oligocottus maculosus,1,44,204,590,8621,2333855,2333856,2333856,snsc,species,gbif
